name,lat,lon
高鐡,22.68715769,120.3087043
左營孔子廟,22.68947181,120.2988068
元帝廟北極亭,22.685199,120.2956067
五里亭,22.68217209,120.2943695
龍虎塔,22.68067349,120.2925082
蓮潭滑水主題樂園,22.6787735,120.2952769
和逸飯店-高雄中山館,22.61355037,120.3052422
哈瑪星台灣鐵道館,22.62104472,120.2784265
棧貳庫KW2,22.61888376,120.2778376
高雄港港史館,22.61851864,120.2794149
大港橋,22.61807336,120.2839301
公園二路(集合),22.62122533,120.2834555
晚餐(鹽埕區夜市),22.62338409,120.2789911
鹽埕區鹽埕國民小學(集合),22.62330547,120.2826957
